feature_name;metadata_slide;metadata_roi;parameter;result;cells_quantities;cell_size;state_state_colocalisation;state_border_colocalisation;dbscan_analysis;neighbors_analysis;aggregation_same_for_all;aggregation_wheighted_sum_by_cell_fraction;aggregation_wheighted_sum_by_physiopart_fraction;aggregation_mean;aggregation_by_sum;aggregation_specific_function;feature_build_during_aggregation;feature_removed_during_aggregation;add_during_postprocessing;analysed_in_a_plot;4_rois_3_times_2_pop_analysis;4_rois_3_times_1_pop_analysis
n_Proliferative_proba_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
n_Amoeboid_proba_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
n_Cluster_proba_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
n_Phagocytic_proba_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
n_Ramified_proba_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
fraction_tot_Proliferative_cells_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_tot_Amoeboid_cells_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_tot_Cluster_cells_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_tot_Phagocytic_cells_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_tot_Ramified_cells_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_tot_Proliferative_cells_proba_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_tot_Amoeboid_cells_proba_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_tot_Cluster_cells_proba_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_tot_Phagocytic_cells_proba_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_tot_Ramified_cells_proba_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
mean_cell_size_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
std_cell_size_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
mean_size_Proliferative_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
mean_size_Amoeboid_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
mean_size_Cluster_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
mean_size_Phagocytic_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
mean_size_Ramified_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
std_size_Proliferative_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
std_size_Amoeboid_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
std_size_Cluster_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
std_size_Phagocytic_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
std_size_Ramified_roi;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
id_square;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
size_max_square;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
area_physiological_part_slide;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
fraction_physiological_part_in_tissue;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
fraction_tot_physiological_part_in_roi;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
n_cells_tot_physiological_part;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
fraction_n_cells_tot_physiological_part_in_ROI;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
id;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
id_in_group;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pop_A;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pop_B;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
levelsets_state_state;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
coloc_n_else_than_A;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_n_B_proba;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_n_B;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_Accumulation_Index_ACI;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_Accumulation_Index_ACI_proba;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_Significant_Accumulation_Index_SAI;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_Significant_Accumulation_Index_SAI_proba;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_Association_Index_ASI;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
coloc_Association_Index_ASI_proba;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
coloc_p_value;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
coloc_p_value_proba;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
coloc_delta_a;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
coloc_delta_a_proba;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
coloc_state_border_levelsets;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
coloc_state_border_n_cells_roi;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_state_border_n_B_proba;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_state_border_n_B;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_state_border_accumulation_index_ACI;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_state_border_accumulation_index_ACI_proba;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_state_border_significant_accumulation_index_SAI;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_state_border_significant_accumulation_index_SAI_proba;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
coloc_state_border_association_index_ASI;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0
coloc_state_border_association_index_ASI_proba;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0
coloc_state_border_delta_a;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0
coloc_state_border_delta_a_proba;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0
coloc_state_border_p_value;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0
coloc_state_border_p_value_proba;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0
dbscan_epsilon_A;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0
dbscan_min_sample_A;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
dbscan_epsilon_B;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
dbscan_min_sample_B;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
dbscan_n_clusters_A;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
dbscan_n_clustered_cells_A;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;1
dbscan_n_isolated_A;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0
dbscan_n_clusters_B;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
dbscan_n_clustered_cells_B;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0
dbscan_n_isolated_B;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
dbscan_iou;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0
dbscan_i_A;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0
dbscan_i_B;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0
dbscan_fraction_A_in_B_clusters;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0
dbscan_fraction_B_in_A_clusters;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0
dbscan_fraction_clusterised_A;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1
dbscan_fraction_clusterised_B;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
dbscan_fraction_clustered_A_in_intersect;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0
dbscan_fraction_clustered_B_in_intersect;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0
neighbours_mean_dist_first_B_around_A;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0
